Título Original,Título Alternativo,Año,Calificación,Duración (min),Clasificación,Género,Sinopsis,URL,Plataforma
Incendies,La mujer que cantaba,2010,8.3,131,B15,"Drama, Misterio, Guerra",Los gemelos viajan a Medio Oriente para descubrir su historia familiar y cumplir los últimos deseos de su madre.,https://www.imdb.com/title/tt1255953/,MUBI
Lawrence of Arabia,Lawrence de Arabia,1962,8.3,227,B,"Aventura, Biografía, Drama","La historia de T. E. Lawrence, el oficial inglés que consiguió unir y liderar a varias tribus árabes, a menudo beligerantes, durante la Primera Guerra Mundial para luchar contra los turcos.",https://www.imdb.com/title/tt0056172/,Ninguna Plataforma
Scarface,Caracortada,1983,8.3,170,C,"Crimen, Drama",Un inmigrante cubano decidido se hace cargo de un cartel de la droga y sucumbe a la codicia en un filme ambientado en Miami en los años 80.,https://www.imdb.com/title/tt0086250/,"Amazon Prime Video, Netflix, Claro video"
Double Indemnity,Pacto de sangre,1944,8.3,107,B,"Crimen, Drama, Cine negro","Un agente de seguros se deja convencer de un plan de asesinato y fraude, que despierta la sospecha de un investigador.",https://www.imdb.com/title/tt0036775/,Ninguna Plataforma
North by Northwest,Intriga Internacional,1959,8.3,136,B,"Aventura, Drama, Misterio",Un ejecutivo de publicidad debe darse a la fuga cuando unos espías extranjeros le toman por un agente federal.,https://www.imdb.com/title/tt0053125/,Ninguna Plataforma
Heat,Fuego contra fuego,1995,8.3,170,C,"Acción, Crimen, Drama",Un grupo de ladrones de banco profesionales sabe que tiene a la policía en los talones tras dejar una pista en su último robo por error.,https://www.imdb.com/title/tt0113277/,"Disney Plus, Pluto TV"
Citizen Kane,El Ciudadano Kane,1941,8.3,119,B,"Drama, Misterio","Tras la muerte de un magnate de la industria editorial, los periodistas se apresuran a descubrir el significado de la última palabra que pronunció.",https://www.imdb.com/title/tt0033467/,Ninguna Plataforma
Up,"Up, una aventura de altura",2009,8.3,96,AA,"Animación, Aventura, Comedia","Carl Fredricksen, de 78 años, viaja a Paradise Falls en su casa, llevada por globos, e inadvertidamente se lleva consigo a un joven chico.",https://www.imdb.com/title/tt1049413/,Disney Plus
M - Eine Stadt sucht einen Mörder,M el Maldito,1931,8.3,117,B,"Crimen, Misterio, Suspenso","Cuando la policía de una ciudad alemana no es capaz de atrapar a un asesino de niños, otros criminales deciden participar en la búsqueda.",https://www.imdb.com/title/tt0022100/,Ninguna Plataforma
Full Metal Jacket,Cara de guerra,1987,8.2,116,C,"Drama, Guerra",Un pragmático infante de marina de los Estados Unidos observa los efectos deshumanizantes que tiene la guerra de Vietnam sobre sus compañeros reclutas.,https://www.imdb.com/title/tt0093058/,Ninguna Plataforma
Vertigo,Vértigo,1958,8.3,128,B15,"Misterio, Romance, Suspenso",Un expolicía lucha contra sus demonios al tiempo que se obsesiona con una preciosa mujer.,https://www.imdb.com/title/tt0052357/,Max
Le fabuleux destin d'Amélie Poulain,Amélie,2001,8.3,122,B,"Comedia, Romance","Amelie es una parisina inocente e ingenua, decide ayudar a aquellos a su alrededor, y encuentra el amor en el proceso.",https://www.imdb.com/title/tt0211915/,Ninguna Plataforma
A Clockwork Orange,Naranja mecánica,1971,8.2,136,C,"Crimen, Ciencia ficción","En el futuro, un sádico líder de pandilla es encarcelado y se ofrece como voluntario para un experimento, pero no sale como estaba planeado.",https://www.imdb.com/title/tt0066921/,Max
Jodaeiye Nader az Simin,Una separación,2011,8.3,123,B,Drama,Una pareja casada se enfrenta a una decisión difícil: mejorar la vida de su hijo mudándose a otro país o quedándose en Irán y cuidando a un padre demente que padece de Alzheimer.,https://www.imdb.com/title/tt1832382/,Amazon Prime Video
To Kill a Mockingbird,Matar a un Ruiseñor,1962,8.3,129,B,"Crimen, Drama","Atticus Finch, un abogado sureño durante la Gran Depresión, defiende a un hombre negro contra un falso cargo de violación.",https://www.imdb.com/title/tt0056592/,Ninguna Plataforma
Oppenheimer,Oppenheimer,2023,8.3,180,B15,"Biografía, Drama, Historia",La historia del científico estadounidense J. Robert Oppenheimer y su papel en el desarrollo de la bomba atómica.,https://www.imdb.com/title/tt15398776/,"Max, Claro video"
Die Hard,Duro de matar,1988,8.2,132,C,"Acción, Suspenso","John McClane, agente del departamento de policía de Nueva York, intenta salvar a su mujer, Holly Gennaro, y a otras personas del terrorista alemán, Hans Gruber.",https://www.imdb.com/title/tt0095016/,Disney Plus
The Sting,El golpe,1973,8.3,129,13,"Comedia, Crimen, Drama",Dos estafadores forman equipo para dar un golpe.,https://www.imdb.com/title/tt0070735/,Ninguna Plataforma
Taare Zameen Par,Like stars on Earth,2007,8.3,162,PG,"Drama, Familia","Un niño de ocho años es visto como un alborotador y un vago, hasta que el nuevo maestro de arte tiene la paciencia y la compasión para descubrir el verdadero problema detrás de sus dificultades en la escuela.",https://www.imdb.com/title/tt0986264/,Ninguna Plataforma
Indiana Jones and the Last Crusade,Indiana Jones y la última cruzada,1989,8.2,127,A,"Acción, Aventura","En 1938, después de la desaparición de su padre el profesor Henry Jones en su búsqueda del Santo Grial, Indiana Jones se enfrenta de nuevo a los Nazis para que evitar que obtengan sus poderes.",https://www.imdb.com/title/tt0097576/,"Netflix, Paramount Plus, Claro video"
Metropolis,Metrópolis,1927,8.3,153,A,"Drama, Ciencia ficción","En una ciudad futurista dividida entre la clase trabajadora y los planificadores de la misma, el hijo de un magnate se enamora de una profeta que predice la llegada de un salvador.",https://www.imdb.com/title/tt0017136/,Ninguna Plataforma
Snatch,Snatch. Cerdos y diamantes,2000,8.2,104,B,"Comedia, Crimen","En la lucha para localizar un diamante robado que no tiene precio, boxeadores, corredores de apuesta, un gángster ruso, y un joyero judío deberán enfrentarse.",https://www.imdb.com/title/tt0208092/,Max
1917,1917,2019,8.2,119,B,"Acción, Drama, Guerra",Dos soldados británicos se embarcan en una peligrosa misión para salvar a 1.600 hombres de una condena segura durante la Primera Guerra Mundial.,https://www.imdb.com/title/tt8579674/,Ninguna Plataforma
L.A. Confidential,Los Ángeles al desnudo,1997,8.2,138,C,"Crimen, Drama, Misterio",La corrupción crece en Los Ángeles en los 50. Tres policías investigan una serie de asesinatos con su propia marca de justicia.,https://www.imdb.com/title/tt0119488/,"Disney Plus, Pluto TV"
Ladri di biciclette,Ladrones de bicicletas,1948,8.2,89,12+,Drama,"En la Italia de la posguerra, le roban la bicicleta a un hombre de clase trabajadora. Él y su hijo salen a buscarlo.",https://www.imdb.com/title/tt0040522/,Ninguna Plataforma
Der Untergang,La caída,2004,8.2,156,C,"Biografía, Drama, Historia",La última secretaria de Hitler relata sus últimos días en su bunker de Berlín al final de la Segunda Guerra Mundial.,https://www.imdb.com/title/tt0363163/,Ninguna Plataforma
Dangal,Dangal,2016,8.3,161,13,"Acción, Biografía, Drama",Luchador Mahavir y sus hijas luchadoras buscan la gloria contra la opresión social en los juegos de la Commonwealth.,https://www.imdb.com/title/tt5074352/,Ninguna Plataforma
Taxi Driver,Taxi Driver,1976,8.2,114,C,"Crimen, Drama","Un veterano de Vietnam mentalmente inestable trabaja como conductor de taxi en Nueva York, donde la decadencia alimenta su necesidad de violencia, intentando liberar a un trabajador de campaña presidencial y una prostituta menor de edad.",https://www.imdb.com/title/tt0075314/,Ninguna Plataforma
Hamilton,Hamilton,2020,8.3,160,16,"Biografía, Drama, Historia","La historia de uno de los padres fundadores de los Estados Unidos, Alexander Hamilton, rodada en directo en Broadway con el reparto original.",https://www.imdb.com/title/tt8503618/,Disney Plus
The Wolf of Wall Street,El lobo de Wall Street,2013,8.2,180,C,"Biografía, Comedia, Crimen","Se basa en la verdadera historia de Jordan Belfort, desde su ascenso como corredor de bolsa hasta su fracaso implicado en crimen y corrupción con el gobierno federal de los Estados Unidos.",https://www.imdb.com/title/tt0993846/,"Amazon Prime Video, Max"
Batman Begins,Batman inicia,2005,8.2,140,B,"Acción, Drama","Después de entrenar con su mentor, Batman comienza su lucha para liberar a Gotham City de la corrupción.",https://www.imdb.com/title/tt0372784/,"Amazon Prime Video, Max"
Green Book,Green Book. Una amistad sin fronteras,2018,8.2,130,B,"Biografía, Comedia, Drama","Un portero italo-americano de clase media se convierte en el chofer de un pianista afroamericano, a lo largo de tour por el sur de los Estados Unidos en los años sesenta.",https://www.imdb.com/title/tt6966692/,Amazon Prime Video
Per qualche dollaro in più,Por unos dólares más,1965,8.2,132,R,"Drama, Oeste",Dos cazarrecompensas con las mismas intenciones se unen para encontrar a un forajido occidental.,https://www.imdb.com/title/tt0059578/,Amazon Prime Video
The Truman Show,The Truman Show. Historia de una vida,1998,8.2,103,A,"Comedia, Drama","Truman Burbank es un hombre ""común"". Lo que no sabe es que desde antes de nacer, es protagonista del mayor ""reality show"" mundial. Sin embargo, su curiosidad innata y sentido de la aventura lo llevaran a descubrir su verdad.",https://www.imdb.com/title/tt0120382/,Ninguna Plataforma
Judgment at Nuremberg,Juicio en Nuremberg,1961,8.3,179,A,"Drama, Guerra",En 1948 un tribunal estadounidense en la Alemania ocupada juzga a cuatro alemanes por crímenes de guerra.,https://www.imdb.com/title/tt0055031/,Amazon Prime Video
Some Like It Hot,Una Eva y dos Adanes,1959,8.2,121,A,"Comedia, Música, Romance","Dos músicos son testigos de un crimen y se dan a la fuga disfrazados de mujeres en una banda femenina, pero las cosas se complican.",https://www.imdb.com/title/tt0053291/,Ninguna Plataforma
The Kid,El chico,1921,8.2,68,A,"Comedia, Drama, Familia","Charlot cuida de un niño abandonado, pero una serie de eventos comprometen su relación con él.",https://www.imdb.com/title/tt0012349/,Ninguna Plataforma
Shutter Island,La isla siniestra,2010,8.2,138,B15,"Drama, Misterio, Suspenso","En 1954, un Marshall estadounidense investiga la desaparición de un asesino que escapó de un hospital para criminales trastornados.",https://www.imdb.com/title/tt1130884/,Ninguna Plataforma
The Father,El padre,2020,8.2,97,B,"Drama, Misterio","Un hombre rechaza la ayuda de su hija a medida que envejece y comienza a dudar de sus seres queridos, de su propia mente y de su realidad.",https://www.imdb.com/title/tt10272386/,Netflix
All About Eve,La malvada,1950,8.2,138,B,Drama,Una actriz de Broadway hace amistad con una tímida joven aspirante y no se da cuenta de que poco a poco ésta la irá reemplazando tanto en su vida profesional como personal.,https://www.imdb.com/title/tt0042192/,Ninguna Plataforma
Jurassic Park,Parque jurásico,1993,8.2,127,A,"Acción, Aventura, Ciencia ficción","Gracias al ADN fosilizado en ámbar, John Hammond da vida a varias especies de dinosaurios y crea Jurassic Park, un parque temático en una isla de Costa Rica. Pero lo que parecía un sueño se convierte rápidamente en pesadilla.",https://www.imdb.com/title/tt0107290/,"Amazon Prime Video, Netflix, Claro video"
There Will Be Blood,Petróleo sangriento,2007,8.2,158,B15,Drama,"Una historia sobre la familia, la religión, el odio, y la locura, en torno a un buscador de petróleo en los primeros días de esta industria.",https://www.imdb.com/title/tt0469494/,Ninguna Plataforma
Casino,Casino,1995,8.2,178,C,"Crimen, Drama","Un centro de avaricia, engaño, dinero, poder y asesinato. Un mafioso y un ejecutivo se enfrentan por un imperio de las apuestas.",https://www.imdb.com/title/tt0112641/,Amazon Prime Video
The Sixth Sense,El sexto sentido,1999,8.2,107,C,"Drama, Misterio, Suspenso",Un niño que se comunica con los espíritus busca la ayuda de un psicólogo infantil sin sentimientos.,https://www.imdb.com/title/tt0167404/,Disney Plus
Ran,Ran,1985,8.2,160,AA,"Acción, Drama, Guerra","En el Japón medieval, un anciano señor feudal decide abdicar y entregar sus dominios a sus tres hijos. Pero no es capaz de ver que estos nuevos poderes los corromperán y harán que acaben enfrentándose los unos a los otros y contra él.",https://www.imdb.com/title/tt0089881/,MUBI
Top Gun: Maverick,Top Gun: Maverick,2022,8.2,130,B,"Acción, Drama","Después de más de treinta años de servicio como uno de los mejores aviadores de la Armada, Pete Mitchell vuelve donde pertenece, siendo un valiente piloto de pruebas y esquivando un avance de rango que lo castigaría.",https://www.imdb.com/title/tt1745960/,Ninguna Plataforma
No Country for Old Men,Sin lugar para los débiles,2007,8.2,122,C,"Crimen, Drama, Suspenso","La violencia y el caos se producen después de que un cazador de antílopes, descubre un cargamento de heroína y dos millones de dólares en efectivo.",https://www.imdb.com/title/tt0477348/,Ninguna Plataforma
The Thing,La cosa del otro mundo,1982,8.2,109,C,"Terror, Misterio, Ciencia ficción",Un equipo de investigadores en Antártica es perseguido por un alíen que cambia de forma y asume la apariencia de sus víctimas.,https://www.imdb.com/title/tt0084787/,Ninguna Plataforma
El laberinto del fauno,El laberinto del fauno,2006,8.2,118,B15,"Drama, Fantasía, Guerra","La joven hijastra de un sádico oficial del ejército escapa a un mundo de fantasía misterioso pero cautivador, ambientado en la España de los años 40.",https://www.imdb.com/title/tt0457430/,Ninguna Plataforma
Unforgiven,Los imperdonables,1992,8.2,130,B,"Drama, Oeste",El pistolero del viejo oeste William Munny acepta a regañadientes un último trabajo con ayuda de su viejo compañero y de un joven.,https://www.imdb.com/title/tt0105695/,Max
A Beautiful Mind,Una mente brillante,2001,8.2,135,B,"Biografía, Drama, Misterio",La vida del brillante pero asocial matemático John Nash toma un giro cuando acepta un trabajo secreto en criptografía.,https://www.imdb.com/title/tt0268978/,Ninguna Plataforma
Kill Bill: Vol. 1,Kill Bill. La venganza (volumen 1),2003,8.2,111,C,"Acción, Crimen, Suspenso","Después de despertar de un coma de cuatro años, un ex asesino se vengó del equipo de asesinos que la traicionaron.",https://www.imdb.com/title/tt0266697/,Amazon Prime Video
The Treasure of the Sierra Madre,El tesoro de la Sierra Madre,1948,8.2,126,A,"Aventura, Drama, Oeste",Dos norteamericanos en México convencen a un hombre para que los ayude a extraer oro en las montañas de Sierra Madre.,https://www.imdb.com/title/tt0040897/,Ninguna Plataforma
Prisoners,Intriga,2013,8.2,153,B15,"Crimen, Drama, Misterio","Cuando la hija de Keller Dover y su amiga desaparecen, él toma la justicia en sus propias manos mientras la policía persigue múltiples pistas.",https://www.imdb.com/title/tt1392214/,"MUBI, FilmBox+"
Yôjinbô,Yojimbo,1961,8.2,110,B,"Acción, Drama, Suspenso",Un astuto samurái ronin llega a un pueblo dividido por dos bandas criminales y decide enfrentar a una contra otra para liberar el pueblo.,https://www.imdb.com/title/tt0055630/,Ninguna Plataforma
Finding Nemo,Buscando a Nemo,2003,8.2,100,AA,"Animación, Aventura, Comedia","Cuando su hijo es capturado, un tímido pez payaso se embarca en un viaje para traerlo a casa.",https://www.imdb.com/title/tt0266543/,Disney Plus
The Great Escape,El gran escape,1963,8.2,172,Approved,"Aventura, Drama, Suspenso",Los prisioneros de guerra Aliados planean fugarse de un campamento alemán durante la Segunda Guerra Mundial.,https://www.imdb.com/title/tt0057115/,Amazon Prime Video
Monty Python and the Holy Grail,Monty Python y el santo grial,1975,8.2,91,S/C,"Aventura, Comedia, Fantasía","El Rey Arturo y sus Caballeros de la Mesa Redonda se embarcan en una búsqueda surrealista y de bajo presupuesto del Santo Grial, encontrando múltiples obstáculos estúpidos.",https://www.imdb.com/title/tt0071853/,Ninguna Plataforma
Hauru no ugoku shiro,El increíble castillo vagabundo,2004,8.2,119,A,"Animación, Aventura, Familia",Una joven sin confianza en sí misma es maldecida con un cuerpo envejecido por una bruja odiosa. Su única oportunidad de romper el hechizo es un joven brujo en un castillo ambulante.,https://www.imdb.com/title/tt0347149/,Netflix
The Elephant Man,El hombre elefante,1980,8.2,124,B,"Biografía, Drama","Un cirujano misterioso da asilo a un hombre desfigurado que se gana la vida como artista de circo, pero que detrás de su terrible apariencia tiene un gran corazón.",https://www.imdb.com/title/tt0080678/,Ninguna Plataforma
Ainda Estou Aqui,Aún estoy aquí,2024,8.4,137,B,"Biografía, Drama, Historia","Basado en las memorias más vendidas de Marcelo Rubens Paiva, en las que su madre se ve obligada a hacer activismo cuando su esposo fue capturado por un régimen militar en Brasil, en 1971.",https://www.imdb.com/title/tt14961016/,Ninguna Plataforma
Dial M for Murder,Con M de Muerte,1954,8.2,105,B,"Crimen, Drama, Misterio","Un ex jugador de tenis decide matar a su esposa para heredar su dinero y vengarse de un caso que ella había tenido. Para deshacerse de la culpa, usa a un antiguo colega de la universidad. Pero las cosas no saldrán según lo planeado.",https://www.imdb.com/title/tt0046912/,Ninguna Plataforma
Gone with the Wind,Lo que el viento se llevó,1939,8.2,238,B,"Drama, Romance, Guerra",Una mujer manipuladora y un oportunista se embarcan en un turbulento romance mientras la sociedad a su alrededor se desmorona con el fin de la esclavitud y se reconstruye durante la Guerra Civil Americana y el periodo de Reconstrucción.,https://www.imdb.com/title/tt0031381/,Max
Rashômon,Rashomon,1950,8.2,88,B,"Crimen, Drama, Misterio","La violación de una novia y el asesinato de su marido samurái desde el punto de vista de un bandido, de la novia, del fantasma del samurái y de un leñador.",https://www.imdb.com/title/tt0042876/,Ninguna Plataforma
Klaus,Klaus,2019,8.2,96,PG,"Animación, Aventura, Comedia","Cuando el nuevo cartero de Smeerensburg, Jesper, se hace amigo del fabricante de juguetes Klaus, sus regalos hacen que una vieja pelea entre ellos se olvide y entregan un trineo lleno de tradiciones navideñas.",https://www.imdb.com/title/tt4729430/,Netflix
Chinatown,Barrio Chino,1974,8.1,130,B15,"Drama, Misterio, Suspenso","Un detective privado contratado para desenmascarar a un adúltero se ve atrapado en una red de engaño, corrupción y asesinato.",https://www.imdb.com/title/tt0071315/,Ninguna Plataforma
El secreto de sus ojos,El secreto de sus ojos,2009,8.2,129,B,"Drama, Misterio, Romance",Un asesor legal retirado escribe una novela con la esperanza de cerrar el ciclo de casos de homicidio sin resolver que todavía lo persiguen.,https://www.imdb.com/title/tt1305806/,Ninguna Plataforma
"Lock, Stock and Two Smoking Barrels","Juegos, trampas y dos pistolas humeantes",1998,8.1,107,C,"Comedia, Crimen","Una partida de cartas en Londres desencadena un enfrentamiento entre cuatro amigos, plantadores de maría, gánsteres, prestamistas y recolectores de deudas en una serie de curiosos eventos, todo por algo de maría, dinero y dos viejas pistolas.",https://www.imdb.com/title/tt0120735/,Ninguna Plataforma
V for Vendetta,V de venganza,2005,8.1,132,B15,"Acción, Drama, Ciencia ficción","En un futuro de tiranía británica, un luchador clandestino conocido como ""V"" trama un complot para derrocar la tiranía con la ayuda de una joven.",https://www.imdb.com/title/tt0434409/,Ninguna Plataforma
Inside Out,Intensa Mente,2015,8.1,95,AA,"Animación, Aventura, Comedia","Riley es una chica que padece toda clase de sentimientos, y aunque su vida ha estado marcada por la alegría, también se ve afectada por otras emociones. Una serie de acontecimientos hacen que Alegría y Tristeza se mezclen en una peligrosa aventura que dará un vuelco al mundo de Riley.",https://www.imdb.com/title/tt2096673/,Ninguna Plataforma
The Wild Robot,Robot Salvaje,2024,8.2,102,A,"Animación, Ciencia ficción","Tras un naufragio, un robot inteligente llamado Roz queda varado en una isla deshabitada. Para sobrevivir al duro entorno, Roz establece vínculos con los animales de la isla y cuida de una cría de ganso huérfana.",https://www.imdb.com/title/tt29623480/,Ninguna Plataforma
"Three Billboards Outside Ebbing, Missouri",Tres anuncios por un crimen,2017,8.1,115,B15,"Comedia, Crimen, Drama",Una madre desafía personalmente a las autoridades locales a resolver el asesinato de su hija cuando no logran atrapar al culpable.,https://www.imdb.com/title/tt5027774/,Disney Plus
The Bridge on the River Kwai,El puente sobre el río Kwai,1957,8.1,161,PG,"Aventura, Drama, Guerra",Un coronel británico y sus hombres cooperan con fuerzas japonesas en la construcción de un puente sin saber que los Aliados planean destruirlo.,https://www.imdb.com/title/tt0050212/,Ninguna Plataforma
Trainspotting,Trainspotting: La vida en el abismo,1996,8.1,93,C,Drama,"Renton, profundamente inmerso en el mundo de las drogas en Edimburgo, trata de salirse del entorno a pesar de la mala influencia de los amigos.",https://www.imdb.com/title/tt0117951/,Ninguna Plataforma
Raging Bull,El toro salvaje,1980,8.1,129,C,"Biografía, Drama, Deportes","La vida del boxeador Jake LaMotta, que ve cómo la violencia y el temperamento que lo llevan a lo más alto en el ring, destruyen su vida fuera de él.",https://www.imdb.com/title/tt0081398/,Ninguna Plataforma
Catch Me If You Can,Atrápame si puedes,2002,8.1,141,B,"Biografía, Crimen, Drama","Un veterano agente del FBI le sigue la pista a Frank Abagnale Jr., quien antes de cumplir 19 años ha forjado millones de dólares en cheques haciéndose pasar por piloto, doctor y abogado.",https://www.imdb.com/title/tt0264464/,Ninguna Plataforma
Fargo,Fargo. Secuestro voluntario,1996,8.1,98,B15,"Crimen, Drama, Suspenso",Los crímenes de Jerry Lundegaard se caen a pedazos gracias a la torpeza de sus hombres y al persistente trabajo de la oficial de policía Marge Gunderson.,https://www.imdb.com/title/tt0116282/,Ninguna Plataforma
Warrior,La última pelea,2011,8.1,140,B,"Acción, Drama, Deportes","El hijo pequeño de un ex boxeador alcohólico vuelve a casa, donde su padre le entrena para un torneo de artes marciales mixtas.",https://www.imdb.com/title/tt1291584/,"Max, Netflix"
Harry Potter and the Deathly Hallows - Part 2,Harry Potter y las reliquias de la muerte (parte 2),2011,8.1,130,PG,"Aventura, Familia, Fantasía","Harry, Ron y Hermione buscan los Horcruxes restantes de Voldemort en su esfuerzo por destruir al Señor Oscuro mientras la batalla final continúa en Hogwarts.",https://www.imdb.com/title/tt1201607/,Max
Gran Torino,Gran Torino,2008,8.1,116,B,Drama,"Walt Kowalski, un veterano de la Guerra de Corea, intenta reformar a su vecino adolescente cuando este intenta robarle su posesión más preciada: un Gran Torino de 1972.",https://www.imdb.com/title/tt1205489/,Ninguna Plataforma
Million Dollar Baby,Golpes del destino,2004,8.1,132,B,"Drama, Deportes",Una mujer llena de determinación se prepara para convertirse en profesional del boxeo con ayuda de su entrenador.,https://www.imdb.com/title/tt0405159/,"Amazon Prime Video, Netflix, MUBI, Claro video"
Tonari no Totoro,Mi vecino Totoro,1988,8.1,86,A,"Animación, Comedia, Familia","Cuando dos jóvenes chicas se mudan al campo para estar cerca de su madre enferma, tienen aventuras con los maravillosos espíritus del bosque que viven cerca.",https://www.imdb.com/title/tt0096283/,Ninguna Plataforma
Spider-Man: No Way Home,Spider-Man: Sin Camino A Casa,2021,8.2,148,B,"Acción, Aventura, Fantasía","Con la identidad de Spider-Man revelada, Peter le pide ayuda al Doctor Strange. Cuando un hechizo sale mal, comienzan a aparecer enemigos de otros mundos, lo que obliga a Peter a descubrir lo que realmente significa ser Spider-Man.",https://www.imdb.com/title/tt10872600/,Netflix
Mad Max: Fury Road,Mad Max: Furia en el camino,2015,8.1,120,B-15,"Acción, Aventura, Ciencia ficción","En un lugar post-apocalíptico, una mujer se rebela contra un gobernante tiránico en busca de su tierra natal con la ayuda de un grupo de mujeres prisioneras, un devoto psicótico y un vagabundo llamado Max.",https://www.imdb.com/title/tt1392190/,"Amazon Prime Video, Max"
Ben-Hur,Ben-Hur,1959,8.1,212,7,"Aventura, Drama","Cuando un príncipe de Jerusalén es traicionado y enviado a la esclavitud por un amigo romano, recupera su libertad y regresa para vengarse.",https://www.imdb.com/title/tt0052618/,Ninguna Plataforma
Bacheha-ye aseman,Los niños del cielo,1997,8.2,89,PG,"Drama, Familia, Deportes","Los zapatos de Zohre se han perdido, su hermano mayor Ali se los perdió e intentará encontrárselos de nuevo.",https://www.imdb.com/title/tt0118849/,Ninguna Plataforma
Barry Lyndon,Barry Lyndon,1975,8.1,185,B,"Aventura, Drama, Guerra",Un irlandés sin escrúpulos enamora a una viuda adinerada y adopta la posición aristocrática que ocupaba su marido en la Inglaterra del siglo 18.,https://www.imdb.com/title/tt0072684/,Ninguna Plataforma
12 Years a Slave,12 años esclavo,2013,8.1,134,B15,"Biografía, Drama, Historia","En los Estados Unidos antes de la guerra, Solomon Northup, un hombre negro libre del estado de Nueva York, es secuestrado y vendido como esclavo.",https://www.imdb.com/title/tt2024544/,Amazon Prime Video
Before Sunrise,Antes del amanecer,1995,8.1,101,A,"Drama, Romance","Un joven y una mujer se conocen en un tren en Europa y terminan pasando una noche juntos en Viena. Desafortunadamente, ambos saben que esta será probablemente la única noche que estén juntos.",https://www.imdb.com/title/tt0112471/,Ninguna Plataforma
Dead Poets Society,La sociedad de los poetas muertos,1989,8.1,128,B,"Comedia, Drama",Un profesor de inglés inspira a sus alumnos a mirar la poesía con una perspectiva diferente.,https://www.imdb.com/title/tt0097165/,Disney Plus
Blade Runner,Blade Runner,1982,8.1,117,C,"Acción, Drama, Ciencia ficción",Un cazador implacable debe perseguir y acabar con los que robaron una nave en el espacio y han regresado a la Tierra para encontrar a su creador.,https://www.imdb.com/title/tt0083658/,Ninguna Plataforma
The Grand Budapest Hotel,El gran hotel Budapest,2014,8.1,99,B15,"Aventura, Comedia, Crimen","Relata las aventuras de Gustave, un legendario conserje en un hotel de la ficticia República de Zubrowka, y Zero Moustafa, el chico del lobby que se convierte en su amigo más confiable.",https://www.imdb.com/title/tt2278388/,Disney Plus
Hacksaw Ridge,Hasta el último hombre,2016,8.1,139,B15,"Biografía, Drama, Historia","El médico del ejército estadounidense Desmond T. Doss, se niega a matar personas y se convierte en el primer hombre en la historia de Estados Unidos en recibir la Medalla de Honor sin disparar un tiro.",https://www.imdb.com/title/tt2119532/,Max
Gone Girl,Perdida,2014,8.1,149,B15,"Drama, Misterio, Suspenso","Tras la desaparición de su esposa,un hombre se ve atrapado en un gran circo formado por los medios, cuando se sospecha que él puede ser el culpable.",https://www.imdb.com/title/tt2267998/,Disney Plus
Salinui chueok,Salinui chueok,2003,8.1,131,18+,"Crimen, Drama, Misterio","En una pequeña provincia coreana en 1986, tres detectives buscan al culpable de una serie de violaciones y asesinatos de mujeres jóvenes.",https://www.imdb.com/title/tt0353969/,Ninguna Plataforma
In the Name of the Father,En el nombre del padre,1993,8.1,133,B,"Biografía, Crimen, Drama",La confesión forzada de un hombre sobre un atentado del IRA que no cometió tuvo como resultado el encarcelamiento de su padre también. Un abogado inglés lucha por liberar a ambos.,https://www.imdb.com/title/tt0107207/,Ninguna Plataforma
"Monsters, Inc.","Monsters, Inc.",2001,8.1,92,AA,"Animación, Aventura, Comedia","Para alimentar la ciudad, los monstruos tienen que asustar a los niños para que griten. Sin embargo, los niños son tóxicos para los monstruos, y después de que un niño pasa, dos monstruos se dan cuenta de que las cosas pueden no ser lo que ellos piensan.",https://www.imdb.com/title/tt0198781/,Disney Plus
Ratatouille,Ratatouille,2007,8.1,111,A,"Animación, Aventura, Comedia",Una rata que puede cocinar forja una inusual alianza con un joven en un famoso restaurante de París.,https://www.imdb.com/title/tt0382932/,Disney Plus
The Gold Rush,La quimera del oro,1925,8.1,95,Approved,"Aventura, Comedia, Drama","Un buscador de oro se va en busca de fortuna al Klondike, y encuentra oro y mucho más.",https://www.imdb.com/title/tt0015864/,Ninguna Plataforma
Relatos salvajes,Relatos salvajes,2014,8.1,122,B-15,"Comedia, Drama, Suspenso","Seis historias que alternan la intriga, la comedia, la violencia, y en donde sus personajes se verán empujados hacia el abismo y hacia el innegable placer de perder el control, cruzando la delgada línea que separa la civilización de la barbarie.",https://www.imdb.com/title/tt3011894/,Max
How to Train Your Dragon,Cómo entrenar a tu dragón,2010,8.1,98,AA,"Animación, Acción, Aventura","Un joven vikingo desventurado que aspira a cazar dragones se convierte en el improbable amigo de un joven dragón, y descubre que las criaturas pueden tener más de lo que él suponía.",https://www.imdb.com/title/tt0892769/,Claro video
Sherlock Jr.,Sherlock Jr.,1924,8.2,45,Passed,"Acción, Comedia, Romance",Un proyeccionista anhela convertirse en detective y la oportunidad se le presenta cuando un competidor le tiende una trampa.,https://www.imdb.com/title/tt0015324/,Ninguna Plataforma
Jaws,Tiburón,1975,8.1,124,B,"Aventura, Drama, Terror","Cuando un tiburón asesino desata el caos en una playa, un sheriff local, un biólogo marino y un viejo marinero deberan dar cazar al animal.",https://www.imdb.com/title/tt0073195/,"Amazon Prime Video, Claro video"
