Título Original,Título Alternativo,Año,Calificación,Duración (min),Clasificación,Género,Sinopsis,URL,Plataforma
The Silence of the Lambs,El silencio de los inocentes,1991,8.6,118,C,"Crimen, Drama, Terror","Una joven del FBI busca la ayuda de un asesino caníbal y manipulador, con el fin de atrapar a otro asesino en serie, un loco que despelleja a sus víctimas.",https://www.imdb.com/title/tt0102926/,Ninguna Plataforma
Saving Private Ryan,Rescatando al soldado Ryan,1998,8.6,169,B,"Drama, Guerra","Después de llegar a Normandía, un grupo de soldados norteamericanos cruzan líneas enemigas para buscar a un paracaidista cuyos hermanos han muerto en batalla.",https://www.imdb.com/title/tt0120815/,Netflix
Cidade de Deus,Ciudad de Dios,2002,8.6,130,C,"Crimen, Drama","Ambientado en las Favelas de Río de Janeiro, los caminos de dos niños se entrecruzan cuando uno lucha por convertirse en fotógrafo y el otro en un capo.",https://www.imdb.com/title/tt0317248/,Max
The Green Mile,Milagros inesperados,1999,8.6,189,B,"Crimen, Drama, Fantasía","La vida de los guardias en el corredor de la muerte se ve afectada por uno de los reclusos: un hombre negro acusado de violar y asesinar a un niño, pero que tiene un misterioso don.",https://www.imdb.com/title/tt0120689/,Ninguna Plataforma
La vita è bella,La vida es bella,1997,8.6,116,B,"Comedia, Drama, Romance","Cuando un bibliotecario judío y su hijo se convierten en víctimas del Holocausto, él usará una mezcla perfecta de voluntad, humor e imaginación para proteger a su hijo de los peligros que rodean en el campo de concentración.",https://www.imdb.com/title/tt0118799/,Netflix
Terminator 2: Judgment Day,Terminator 2: Juicio final,1991,8.6,137,B,"Acción, Aventura, Ciencia ficción","Un cyborg, idéntico al que fracasó al asesinar a Sarah Connor, ahora debe proteger al hijo adolescente de un cyborg más avanzado y poderoso.",https://www.imdb.com/title/tt0103064/,"Amazon Prime Video, Netflix"
Star Wars,La guerra de las galaxias,1977,8.6,121,AA,"Acción, Aventura, Fantasía","Luke Skywalker une fuerzas con un Caballero Jedi, un piloto arrogante, un wookie y dos droides para salvar a la galaxia de la estación de batalla del Imperio que destruye el mundo, mientras intenta rescatar a la Princesa Leia del misterioso Darth Vader.",https://www.imdb.com/title/tt0076759/,Disney Plus
Back to the Future,Volver al futuro,1985,8.5,116,A,"Aventura, Comedia, Ciencia ficción","Marty McFly, un estudiante de 17 años, es enviado accidentalmente treinta años al pasado en un artefacto inventado por su amigo.",https://www.imdb.com/title/tt0088763/,"Amazon Prime Video, Netflix, Claro video"
Sen to Chihiro no kamikakushi,El viaje de Chihiro,2001,8.6,124,A,"Animación, Aventura, Familia","Durante el traslado de su familia a los suburbios, una niña de 10 años se adentra en un mundo gobernado por dioses, brujas y espíritus, y donde los humanos se convierten en bestias.",https://www.imdb.com/title/tt0245429/,Netflix
The Pianist,El pianista,2002,8.5,150,PG-13,"Biografía, Drama, Música",Un músico judío-polaco lucha por sobrevivir a la destrucción del gueto de Varsovia en la Segunda Guerra Mundial.,https://www.imdb.com/title/tt0253474/,Netflix
Gladiator,Gladiador,2000,8.5,155,B15,"Acción, Aventura, Drama",Un ex general romano se propone vengarse del corrupto emperador que asesinó a su familia y lo envió a la esclavitud.,https://www.imdb.com/title/tt0172495/,"Amazon Prime Video, Netflix, Claro video"
Gisaengchung,Parásitos,2019,8.5,132,B15,"Drama, Suspenso","Desempleados, la familia de Ki-taek toma interés en la acaudalada y glamorosa vida de los Park, hasta que se ven envueltos en un inesperado incidente.",https://www.imdb.com/title/tt6751668/,"Amazon Prime Video, Max"
Psycho,Psicosis,1960,8.5,109,B15,"Terror, Misterio, Suspenso","Una secretaria de Phoenix malversa cuarenta mil dólares de un cliente, se da a la fuga y se registra en un motel remoto administrado por un joven con una controladora madre.",https://www.imdb.com/title/tt0054215/,"Max, Claro video"
The Lion King,El rey león,1994,8.5,88,AA,"Animación, Aventura, Drama","El pequeño león Simba, príncipe heredero, es engañado por su malvado tío, quien desea el trono para sí mismo.",https://www.imdb.com/title/tt0110357/,Disney Plus
Hotaru no haka,La tumba de las luciérnagas,1988,8.5,88,B,"Animación, Drama, Guerra",Un muchacho y su hermana pequeña intentan sobrevivir en Japón durante la Segunda Guerra Mundial.,https://www.imdb.com/title/tt0095327/,Netflix
The Departed,Los infiltrados,2006,8.5,151,C,"Crimen, Drama, Suspenso",Un policía encubierto y un topo en la policía intentan identificarse mientras se infiltran en una pandilla irlandesa en el sur de Boston.,https://www.imdb.com/title/tt0407887/,"Amazon Prime Video, Max"
Whiplash,Whiplash. Música y obsesión,2014,8.5,106,B,"Drama, Música",Un joven y prometedor baterista se inscribe en un conservatorio de música feroz donde sus sueños de grandeza son guiados por un instructor que no se detendrá ante nada para darse cuenta del potencial de un estudiante.,https://www.imdb.com/title/tt2582802/,Max
Seppuku,Harakiri,1962,8.6,133,B,"Drama, Misterio",Un viejo samurái llega a la casa de un señor feudal y pide un lugar honorable donde poder suicidarse.,https://www.imdb.com/title/tt0056058/,Ninguna Plataforma
American History X,Historia americana X,1998,8.5,119,C,"Crimen, Drama",Un ex skinhead neonazi intenta evitar que su hermano menor tome el mismo camino equivocado que él.,https://www.imdb.com/title/tt0120586/,Amazon Prime Video
The Prestige,El gran truco,2006,8.5,130,B,"Drama, Misterio, Ciencia ficción","Tras un trágico accidente, dos magos se envuelven en la competencia para crear la más espectacular ilusión, aún si ello significa sacrificar todo lo que tienen.",https://www.imdb.com/title/tt0482571/,Ninguna Plataforma
Léon,El perfecto asesino,1994,8.5,110,C,"Acción, Crimen, Drama","Una niña de 12 años llamada Mathilda, es acogida por Léon, un asesino profesional, después de que su familia es asesinada. Léon y Mathilda forman una relación inusual, ya que ella se convierte en su protegida.",https://www.imdb.com/title/tt0110413/,Ninguna Plataforma
